#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'I','3EDEBC','Duo Discus xlt','ZHS','ZHS','Y','Y'
'I','3EE104','LS-8','D-0109','SB','Y','Y'
'I','3EE10B','ASW-20','D - 011','15','Y','Y'
'F','3EE14E','Janus C','D-0183','88','Y','Y'
'I','3EE1FC','DG-300','D-0357','PL','Y','Y'
'I','3EE2D4','LS-4','D-0573','FO','Y','Y'
'I','3EE34B','LS-4','D-0692','EL','Y','Y'
'F','3EE34F','Janus A','D-0696','EG6','Y','Y'
'I','3EE408','Elfe S4','D-0878','T2','Y','Y'
'I','3EE482','LS-8 18','D-1003','VZ','Y','Y'
'I','3EE673','Libelle Std','D-1500','ii','Y','Y'
'F','3EE710','ASW-20','D-1657','AY','Y','Y'
'I','3EE80B','Discus','D-1908','K3','Y','Y'
'I','3EE8CD','Cirrus Std','D-2102','SA','Y','Y'
'I','3EE9C9','ASK-23','D-2354','G2','Y','Y'
'I','3EEA38','ASW-24','D-2465','8M','Y','Y'
'I','3EEAAC','Discus','D-2581','3M','Y','Y'
'I','3EEE3B','ASK-23','D-3492','','Y','Y'
'F','3EEE54','LS-3','D-3517','INF','Y','Y'
'I','3EEF6E','Discus 2','D-3799','Y1','Y','Y'
'I','3EF19D','Janus C','D-4358','G5','Y','Y'
'I','3EF19E','ASK-21','D-6507','G','Y','Y'
'I','3EF2D5','Ventus 2CXa','D-4670','Y','Y','Y'
'I','3EF44F','Discus 2c','D-5048','LZ','Y','Y'
'I','3EF462','Ka-8','D-5067','','Y','Y'
'I','3EF4B5','DG-300','D-5150','PI','Y','Y'
'I','3EF4B9','ASK-21','D-5154','','Y','Y'
'F','3EF6F8','DG-300','D-5729','FX','Y','Y'
'I','3EF8EC','Duo Discus xl','D-6229','2M','Y','Y'
'F','3EF92D','','','','Y','N'
'I','3EF94F','ASW-28 18','D-6328','7M','Y','Y'
'I','3EFB29','LS-4 W','D-6803','4M','Y','Y'
'I','3EFB2A','LS-4 W','D-6802','6M','Y','Y'
'I','3EFC1D','ASK-21','D-7046','','Y','Y'
'I','3EFE1A','LS-8 18','D-7555','8M','Y','Y'
'I','3EFE8F','ASK-13','D-7672','','Y','Y'
'I','3EFEF8','Libelle Std','D-7777','4*7','Y','Y'
'I','3EFF62','Unknown','','','Y','Y'
'I','3F0087','LS-7','D-8176','LT','Y','Y'
'F','3F01B9','Zugvogel IIIb','D-8482','DW','Y','Y'
'I','3F046E','Duo Discus xl','D-9175','SD','Y','Y'
'I','3F0482','Duo Discus xl','D-9195','SL','Y','Y'
'F','3F05B0','Cirrus Std','D-9497','KT','Y','Y'
'I','3F068F','Discus 2','D-9720','2S','Y','Y'
'I','3F0699','Discus 2','D-9730','6S','Y','Y'
'I','3F06F3','Discus 2','D-9820','9S','Y','Y'
'I','3F06FD','Discus 2','D-9830','77','Y','Y'
'I','3F074F','LS-7','D-9912','L6','Y','Y'
'I','3FEA60','Eurostar EV97','D-MYUW','','Y','Y'
'I','3FEACE','Ikarus C42 C','D-MASZ','SZ','Y','Y'
'F','3FEC86','Ikarus C42 B','D-MNRT','RT','Y','Y'
'I','3FED3D','Ultralight','D-MPCV','CV','Y','Y'
'I','3FEE16','Flight Design CTSW','','LT','Y','Y'
'F','3FEFAB','Ikarus C42 B','D-MKPN','PN','Y','Y'
'I','3FF01B','WT9 Dynamic','D-MHIJ','IJ','Y','Y'
